name,aziz,ctg,dhk,syl,bb,ecom,id,reference,price
গল্পের লাতিন আমেরিকা,0,1,0,0,0,0,11363,1136300000002,450
আখতারুজ্জামান ইলিয়াস মানুষ ও কথাসাহিত্য (copy),0,0,0,0,0,0,11496,1149600000009,250
গ্রিক বীরদের আখ্যান,0,0,0,0,0,0,11618,1161800000009,270
চার্বাকচর্চা,0,6,0,0,0,0,11664,1166400000008,500
প্রকৃতিমঙ্গলঃ প্রাণ ও প্রকৃতির গল্প,0,0,0,0,0,0,11692,1169200000001,370
পয়েন্টেড রুফস,0,0,0,0,0,0,11822,1182200000000,500
মুক্তিযুদ্ধের ইতিহাস,0,0,0,0,0,0,11903,1190300000004,300
আমার জীবন,0,0,0,0,0,0,12004,1200400000009,300
স্ফেয়ার,0,1,1,0,0,0,12043,1204300000008,400
কার্গিলের আকাশ,0,0,0,0,0,0,12254,1225400000002,590
দাশগুপ্ত ট্রাভেলস,0,9,0,2,0,0,12258,1225800000008,990
ভারত-ভ্রমণ দিনপঞ্জি,0,0,0,0,0,0,12288,1228800000009,120
নির্বাচিত প্রবন্ধ,0,2,0,0,0,0,38516,1234567890128,300
জংলি কবুতর,0,0,2,2,0,0,12425,1242500000008,450
"ইসলাম, সাম্রাজ্য ও হারানোর বেদনা",0,0,0,0,0,0,12481,1248100000004,380
নির্বাচিত গল্প,0,1,0,0,0,0,12498,1249800000004,400
যখন আমি মৃত্যুশয্যায়,0,0,1,0,0,0,12499,1249900000003,400
কার্লোস ফুয়েন্তেসের গল্প,0,3,3,2,0,0,12582,1258200000002,600
দাঙ্গা বিরোধী গল্প,0,2,4,0,0,0,12584,1258400000000,300
ভয় সমগ্র (বিভূতিভূষণ বন্দ্যোপাধ্যায়),0,1,0,0,0,0,12650,1265000000002,798
হত্যার চার অধ্যায়,0,0,0,0,0,0,12706,1270600000000,550
খাবার যখন রোগ সারায়,0,0,0,0,0,0,12719,1271900000004,300
মেলুহার মৃত্যুঞ্জয়ীগণ,0,0,0,0,0,0,12749,1274900000005,798
নাগ রহস্য,0,3,0,4,0,0,12750,1275000000001,550
কাঁহা গেলে তোমা পাই,0,1,0,4,0,0,12768,1276800000000,300
Food কাহিনি,1,0,0,0,0,0,12854,1285400000006,580
Anchored Astronauts,0,0,0,0,0,0,12930,1293000000005,200
Sound Bound,0,1,1,0,0,0,71038,13001550,2120
বাঙালির জাতীয় রাষ্ট্র,0,11,2,0,0,0,13050,1305000000005,250
অনড় দাঁড়ালাম,0,0,6,0,0,0,13059,1305900000006,600
চিত্রকর,0,2,2,0,0,0,13248,1324800000008,300
Scenes from Village Life,0,0,0,0,0,0,13286,1328600000008,998
শিল্পভাবনা,0,0,0,1,0,0,13293,1329300000008,1200
রঙ,0,0,8,1,0,0,13302,1330200000005,250
এই সময়ের ছবি,0,0,0,1,0,0,13305,1330500000002,1600
নিশি,0,0,0,0,0,0,13377,1337700000009,598
In a Glass Darkly,0,0,0,0,0,0,13412,1341200000001,510
আসিম কুলুবায়ের কিসাকানি,0,0,1,0,0,0,49701,13423495,250
My Master Pandit Ravi Shankar,0,2,0,0,0,0,13715,1371500000005,390
টাইম ম্যানেজমেন্ট,0,0,0,0,0,0,13727,1372700000000,300
Autobiography,0,0,0,0,0,0,13735,1373500000009,450
A Memoir Reflections Of A Pakistani Women,0,0,0,0,0,0,13737,1373700000007,2000
মাকড়সার বাসা,0,0,0,0,0,0,13769,1376900000006,80
ভারতীয় মধ্যযুগে সাধনার ধারা,0,0,0,1,0,0,59071,137988190806190,340
Five Hundred Buildings Of London,0,0,1,0,0,0,45067,139781579128579,2900
গুহাচিত্রে সভ্যতার অভিমুখ সন্ধান,0,0,0,2,0,0,35910,139788192247793,320
বঙ্গে ভ্রমণ,0,1,0,0,0,0,56243,139788192249742,700
রহস্যময় মায়া সভ্যতা,0,0,0,0,0,0,62442,139788194179122,320
অজন্তা ও বাঘগুহার কথা,0,0,0,1,0,0,44641,139788194209256,320
আয়ওয়ার ডায়েরি,0,0,0,0,0,0,3972,139789383832088,500
প্রিয় গানের স্বরলিপি,0,0,0,1,0,0,14082,1408200000001,100
রামের সুমতি,0,3,0,0,0,0,14159,1415900000002,65
দিবারাত্রির কাব্য,0,4,0,0,0,0,14171,1417100000004,150
দুর্বিন শাহের গণসংগীত,0,0,0,0,0,0,14232,1423200000004,75
সুনির্বাচিত লালন গীতির স্বরলিপি,0,1,0,0,0,0,14256,1425600000004,100
পথে হলো দেরি,0,0,0,0,0,0,14289,1428900000002,200
Atlas Shrugged SparkNotes Literature Guide (copy),0,0,0,0,0,0,14413,1441300000007,598
নির্বাচিত গান,0,0,0,2,0,0,14487,1448700000002,200
তবলা-সাধনা,0,0,0,0,0,0,14515,1451500000004,500
ভালোবাসার রাজপ্রাসাদে,0,0,0,1,0,0,14525,1452500000001,600
বৈকালীর গান,0,0,0,1,0,0,14553,1455300000004,400
বাংলা গানের সন্ধানে,0,1,0,1,0,0,14606,1460600000005,500
তোমার গীতি জাগালো স্মৃতি (প্রথম খণ্ড),0,0,0,1,0,0,14607,1460700000004,400
তোমার গীতি জাগালো স্মৃতি (দ্বিতীয় খণ্ড),0,0,0,1,0,0,14608,1460800000003,400
তৃণভূমি,0,0,0,0,0,0,14632,1463200000000,40
মেরু,0,0,0,0,0,0,14635,1463500000007,100
তোমাদের প্রিয় চার শিল্পী,0,1,0,0,0,0,14641,1464100000008,120
কবিতা সমগ্র,0,1,0,0,0,0,14653,1465300000003,700
অপরাজিত অপু,0,0,0,0,0,0,14670,1467000000000,660
শিব-সঙ্কীর্ত্তন বা শিবায়ন,0,0,0,4,0,0,14712,1471200000005,300
অষ্টাদশ পুরাণ কাহিনী সমগ্র,0,0,0,0,0,0,14713,1471300000004,1000
তেরছা নজরে : মোল্লা নাসিরুদ্দিনের গল্প,0,0,0,0,0,0,14730,1473000000001,280
কুকুর ও গরুর গল্প,0,3,0,0,0,0,14743,1474300000005,70
মিশর পুরাণ,0,1,2,0,0,0,14818,1481800000008,300
মেসমেরিজম,0,1,5,0,0,0,14819,1481900000007,280
কেমন করে স্বাধীন হলাম,0,0,0,0,0,0,14826,1482600000007,100
হযরত হুদ (আ.) ও তাঁর অবাধ্য জাতি,0,0,0,0,0,0,14852,1485200000002,120
নির্বাচিত কিশোর সংকলন,0,0,0,0,0,0,14928,1492800000004,300
নারীর কোনও দেশ নেই,0,0,0,2,0,0,14979,1497900000008,200
নারীমুক্তি আন্দোলন ও আমরা,0,6,0,1,0,0,14988,1498800000006,300
ধর্ম অধর্ম ও ভারতীয় নারী,0,0,2,1,0,0,14990,1499000000001,600
স্মাটকিট - জায়ান্ট পিক্সেল,0,1,1,0,0,0,70310,15003191,880
ভিডিও ক্যামেরা ও ভিডিওগ্রাফি,0,2,0,0,0,0,15055,1505500000004,200
ফোটোগ্রাফি-অভিধান,0,0,0,1,0,0,15057,1505700000002,650
ফিল্মফর্ম,0,0,0,4,0,0,15058,1505800000001,400
ফিল্মসেন্স,0,0,0,0,0,0,15060,1506000000006,300
বিশ্ববরেণ্য ভারতরত্ন সত্যজিৎ রায়,0,1,0,1,0,0,15074,1507400000009,200
টেলিভিশন ও টিভি প্রযোজনা,0,0,0,3,0,0,15078,1507800000005,600
আফ্রিকার চলচ্চিত্র,0,0,0,2,0,0,15080,1508000000000,200
প্রচ্ছদে বাংলা সিনেমার ফিল্ম বুকলেট বাছাই ১০০,0,0,0,0,0,0,15087,1508700000003,990
সিনেমা কথকতা,0,0,0,3,0,0,15099,1509900000008,500
দুই বাংলার পুতুল,0,0,0,0,0,0,15173,1517300000009,180
একদিন সবাই মিলে,0,5,6,0,0,0,15271,1527100000000,80
আমাদের গ্রামের পুজো,0,0,0,0,0,0,15324,1532400000001,60
স্প্যানিশ ভাষার ক্লাস,0,3,0,0,0,0,15328,1532800000007,250
দুর্লভ হাসির গল্পের সংগ্রহ,0,0,0,0,0,0,15335,1533500000007,200
তখন মাক্কা-মাদীনায়,1,1,2,0,0,0,15351,1535100000005,700
শ্রীমদ্ভগবদগীতা,0,0,1,0,0,0,15353,1535300000003,800
কপিলাবস্তুর কলস,0,4,4,0,0,0,15357,1535700000009,750
পূর্বাপরঃ সিলেটে রবীন্দ্র-আগমনের শতবর্ষপূর্তি উপলক্ষে শ্রীহট্ট ব্রাহ্ম সমাজ-কর্তৃক প্রকাশিত,0,0,0,5,0,0,15358,1535800000008,200
আলপনা,0,0,0,0,0,0,15371,1537100000009,80
অন্তর্দৃষ্টি,0,0,0,0,0,0,15373,1537300000007,200
হিতোপদেশের গল্প,0,0,0,0,0,0,15380,1538000000007,100
বোবা বেহাগ,0,0,0,2,0,0,15381,1538100000006,100
দি লায়ন কিং গুহাদানব,0,1,0,0,0,0,15416,1541600000001,75
আমার বনবাস,0,0,0,0,0,0,15451,1545100000004,24
সুরমা গাঙর পানি,0,0,0,10,0,0,15470,1547000000009,600
Leonardo Da Vinci,0,0,0,0,0,0,45222,1568521987,6130
দ্য রোড টু আল-কায়েদা,0,2,3,0,0,0,15712,1571200000002,330
ব্যাটম্যান ও রবিন,0,0,9,0,0,0,15717,1571700000007,200
সুপারম্যান রহস্ব প্রকাশ,0,0,24,0,0,0,15720,1572000000001,200
ব্যাটম্যান,0,0,17,0,0,0,15721,1572100000000,200
প্রথম রোমহর্ষক প্রকাশ! : ব্যাটম্যান,0,0,27,0,0,0,15722,1572200000009,200
প্রস্তর বক্ষ : সুপারম্যান,0,0,5,0,0,0,15727,1572700000004,200
দেশ বিদেশের গুপ্তধন,0,0,0,0,0,0,15741,1574100000004,400
ওনা আর উনো,0,0,0,0,0,0,15746,1574600000009,60
হাতে ঘড়ি চোখে চশমা,0,0,0,0,0,0,15747,1574700000008,60
বোলে বোলে বোলে রে বোলবিহান,0,0,0,0,0,0,15748,1574800000007,50
হরে-কর-কমবা,0,0,0,0,0,0,15750,1575000000002,60
আমার ছেলেবেলা,0,0,0,0,0,0,15751,1575100000001,60
মিতানকে নিয়ে বাড়াবাড়ি,0,1,0,0,0,0,15753,1575300000009,70
তিনসুকিয়ার তিন পাহাড়ে,0,0,0,0,0,0,15754,1575400000008,60
সারাদুনিয়ার সেরা গল্প (দুই খন্ডের সেট),0,1,4,0,0,0,15801,1580100000005,1200
BD Map Journal (Line),0,0,0,0,0,0,34520,1580100000055,780
দুর্জয়- ১৩ : সর্বগ্রাসী,0,4,0,1,0,0,15842,1584200000002,135
ছন্ন ছড়া,0,1,0,0,0,0,15870,1587000000005,120
ছড়ায় ছড়ায় ২,0,0,0,0,0,0,15871,1587100000004,90
ছড়ার ছবি,0,0,1,0,0,0,15873,1587300000002,60
ছড়ার ছবি : ৩,0,0,0,0,0,0,15875,1587500000000,60
আমার ছড়া,0,0,0,0,0,0,15881,1588100000001,100
নদী,0,0,0,0,0,0,15884,1588400000008,100
হীরামন,0,0,0,0,0,0,15891,1589100000008,80
নাশরাহর জন্য ছড়া,0,2,0,0,0,0,15898,1589800000001,80
মহাত্মা গান্ধী,0,0,1,1,0,0,15935,1593500000001,60
মুকুন্দদাস,0,0,2,0,0,0,15936,1593600000000,60
বিবেকানন্দ,0,0,3,0,0,0,15939,1593900000007,60
অগ্নিমাতা মাতঙ্গিনী,0,0,0,0,0,0,15940,1594000000003,60
আম্বেদকর,0,0,2,0,0,0,15944,1594400000009,60
রবি-ছবি,0,8,0,0,0,0,15945,1594500000008,200
দেও : লৌকিক দেব-দেবীর অলৌকিক কথা,0,1,1,0,0,0,15979,1597900000005,500
রান্নাঘরের রূপকথা,0,0,0,0,0,0,15995,1599500000003,460
চুয়া চন্দন,0,0,0,0,0,0,15996,1599600000002,250
"My Music, My Life",0,1,0,0,0,0,58094,1601090056,4210
বাঙ্গালীর সার্কাস,0,1,0,2,0,0,16045,1604500000004,320
রিশাদ ট্রিলজি,0,0,0,0,0,0,16127,1612700000007,200
১৯৭১ যুদ্ধাহতের বয়ান,0,0,0,0,0,0,16133,1613300000008,250
Tiny jumps in,0,1,0,0,0,0,60512,1613BBC6564,350
Muslim Monuments Of Chittagong,0,8,0,0,0,0,16146,1614600000002,1080
এটা আমার!,0,0,0,2,0,0,16460,1646000000009,120
শুনছেন স্বাধীন বাংলা বেতার কেন্দ্র ১৯৭১,0,0,0,0,0,0,16499,1649900000001,750
The Canterville Ghost and other stories,0,0,0,0,0,0,16587,1658700000005,190
মহাভারতের নরনারী,0,0,0,0,0,0,16615,1661500000007,500
নীহাররঞ্জন,0,1,0,0,0,0,16704,1670400000000,598
অচেনা আন্ডারওয়ার্ল্ড,0,2,1,3,0,0,16734,1673400000001,360
মিশরের রহস্যময়ী রানীরা,0,3,0,0,0,0,16790,1679000000007,300
নর্স,0,0,0,0,0,0,16794,1679400000003,450
গ্রিস,0,1,0,0,0,0,16797,1679700000000,360
বিচিত্র মানবী,1,0,4,4,0,0,16798,1679800000009,340
বিবেকানন্দ ও সমকালীন ভারতবর্ষ (১ থেকে ৭ খণ্ডের সেট),0,0,0,0,0,0,16809,1680900000004,4900
জীবনযাপনের শিল্পকলা,0,2,1,0,0,0,16811,1681100000009,300
পুত্র পিতাকে,0,2,2,0,0,0,16812,1681200000008,400
সাক্ষী ছিলেন পূর্ণচন্দ্র,0,1,0,0,0,0,16813,1681300000007,300
প্রাচীন গ্রীস,0,4,0,0,0,0,16815,1681500000005,300
মহাভারত কালীপ্রসন্ন সিংহ অনূদিত (২খণ্ডের সেট),0,1,1,0,0,0,16907,1690700000005,4000
"Being the Boss, with a New Preface",0,0,0,0,0,0,16987,1698700000001,2500
Rumpelstiltskin,0,0,0,0,0,0,17003,1700300000005,110
মিথ পঞ্চদশ,0,0,3,2,0,0,17170,1717000000006,570
বেদের দেবতা ও কৃষ্টিকাল,0,0,0,2,0,0,17171,1717100000005,570
পোয়ারোর সেরা তিন,0,6,1,0,0,0,17173,1717300000003,400
ঈশ্বরীর চোখে জল,0,0,0,0,0,0,17174,1717400000002,340
আবোল তাবোল,0,12,0,0,0,0,17269,1726900000009,140
ঝাড়খন্ডীর ডায়ারি,0,1,0,0,0,0,17304,1730400000001,320
আমি তোমাকে,0,1,0,0,0,0,17351,1735100000009,300
সিলেটি নাগরীলিপির সহজপাঠ,0,0,0,0,0,0,17356,1735600000004,200
পাঁচ-এ পঞ্চবাণ,0,1,0,0,0,0,17358,1735800000002,360
চীনযাত্রী,0,0,0,1,0,0,17376,1737600000008,100
হে মহাজীবন,0,4,2,1,0,0,17423,1742300000005,500
ফরাসি দেশের গল্প,0,0,0,1,0,0,17481,1748100000009,600
প্রতিবিম্ব ১৯৭৯-২০২০ (শঙ্খ ঘোষের লেখা),0,3,0,2,0,0,17492,1749200000005,500
সপ্তজননীর অমৃতকথা,0,0,1,0,0,0,17496,1749600000001,400
সৌমিত্র,0,0,0,2,0,0,17497,1749700000000,700
শাদা ঘোড়া,0,0,0,0,0,0,17498,1749800000009,140
ঐতিহ্যের উত্তরসাধক,0,0,0,0,0,0,17502,1750200000001,1050
অমরকোষ,0,0,0,0,0,0,17557,1755700000001,500
পুরুষ ও প্রকৃতি,0,0,0,0,0,0,17584,1758400000005,300
তোমাকে আমি ছুঁতে পারিনি,0,0,0,0,0,0,17613,1761300000006,450
আপনাদের সন্তান মানুষ হচ্ছে তো ?,0,1,0,0,0,0,17624,1762400000002,500
"মিশর : ধর্ম, বিশ্বাস, দেবদেবী",0,0,0,0,0,0,17642,1764200000008,400
চন্দ্রবংশের ধারায় মহারাজ শশাঙ্কের অনুসন্ধান,0,0,0,0,0,0,17644,1764400000006,300
বাংলা শিশু-কিশোর সাহিত্য পাঠের ভূমিকা,0,0,0,0,0,0,17657,1765700000000,600
গণিতের বিস্ময়কর জগৎ : ১ম খণ্ড,0,4,1,0,0,0,17704,1770400000007,200
ছোটদের রহস্য গল্প,0,0,0,0,0,0,17712,1771200000006,180
সুরম্য-কুরম্য,0,4,1,0,0,0,17714,1771400000004,180
রম্য রত্ন-সম্ভার,0,2,0,0,0,0,17738,1773800000004,180
হযরত মুহম্মদ (সাঃ) ও ভারতীয় ধর্মগ্রন্থ,0,1,1,0,0,0,17739,1773900000003,80
মধ্যযুগে বাংলার ইতিহাস (১২০৫-১৭৫৭খ্রি.) : তিন খণ্ড একত্রে,0,0,0,0,0,0,17740,1774000000009,1500
গোপন মৃত্যু ও নবজীবন : প্রথম খণ্ড,0,2,1,0,0,0,17743,1774300000006,140
নামাজের অজানা রহস্য,0,2,1,0,0,0,17745,1774500000004,120
Consequences Of Capitalism : Manufacturing Discontent And Resistance,0,0,0,0,0,0,17754,1775400000002,1598
পজিটিভ সাইকোলজি,0,0,0,0,0,0,17789,1778900000008,300
গুড্ডুবুড়ার বিজয় দিবস,0,0,0,0,0,0,17796,1779600000008,85
বিশ্বে যা কিছু প্রথম : ২,0,0,0,1,0,0,17810,1781000000007,300
যত দূর মনে পড়ে,0,0,0,0,0,0,17988,1798800000007,400
StamtKit Focus Challenge,0,1,3,0,0,0,60706,18000937,880
আন্তর্জাতিক অঙ্গনে শেখ হাসিনা,0,0,0,0,0,0,18033,1803300000003,450
বিদায় ফেলুদা,0,0,1,0,0,0,18041,1804100000002,1000
নিজের সঙ্গে নিজে,0,0,1,0,0,0,18046,1804600000007,500
বাৎস্যায়নের কামসূত্র,0,3,5,0,0,0,18071,1807100000003,800
নিজের অসুখ নিজে সারান (প্রথম খণ্ড),0,0,0,0,0,0,18091,1809100000007,200
রোগ যখন মনে,0,0,0,2,0,0,18108,1810800000006,450
কিছু সাধারণ চর্মরোগ ও তার চিকিৎসা,0,2,0,1,0,0,18154,1815400000005,500
গীতবিতান,0,0,0,0,0,0,18163,1816300000003,1050
The Holy Bible (Kings James Version),0,0,1,0,0,0,18164,1816400000002,1598
মুর্শিদাবাদ রহস্য,0,0,0,1,0,0,18169,1816900000007,460
ডন কুইক্সোটের অভিযান,0,0,0,0,0,0,43685,1817004800463,100
The Modern Bengali Dictionary for Non - Bengali Readers (Volume Three),0,0,0,0,0,0,18174,1817400000009,1600
The Modern Bengali Dictionary for Non - Bengali Readers (Volume Four),0,0,0,0,0,0,18175,1817500000008,2000
জাতক (৬ খণ্ডের সেট),2,6,10,0,0,0,18212,1821200000008,4100
অদ্বিতীয় সত্যজিৎ,0,1,0,1,0,0,18215,1821500000005,598
ধ্রুপদী এষণা (স্বামী বিবেকানন্দ বিশেষ সংখ্যা ২০১১),0,0,6,0,0,0,18229,1822900000008,600
জাতক সমগ্র,0,8,0,0,0,0,18233,1823300000001,800
পথের পাঁচালী,0,0,0,0,0,0,18247,1824700000004,100
Handwriting  With Cursive Style,0,0,0,0,0,0,18262,1826200000003,250
