name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
পারিবারিক বিপর্যয়ের কারণ,0,0,0,0,0,0,10285,1.0285E+12,80
দ্য মার্টায়ার লিডার,0,0,0,0,0,0,10289,1.0289E+12,120
শয়তানের ফাঁদ,0,0,0,0,0,0,10301,1.0301E+12,40
ফুটন্ত ফুলের আসর,0,2,0,0,0,0,10303,1.0303E+12,214
নীড়ে ফেরার গল্প,0,0,0,0,0,0,10304,1.0304E+12,128
শ্রেষ্ঠ গল্প,0,0,0,0,0,0,10306,1.0306E+12,400
ইতিবৃত্তে চণ্ডাল জীবন (দ্বিতীয় খণ্ড),0,1,0,0,0,0,10325,1.0325E+12,700
ইসলামি আকিদা ও মানহাজ,0,2,0,0,0,0,10359,1.0359E+12,256
তলস্তয়,0,2,0,1,0,0,10558,1.0558E+12,80
যিশু,0,1,0,2,0,0,10561,1.0561E+12,100
ব্রেখট,0,2,0,2,0,0,10563,1.0563E+12,80
আইজেনস্টাইন,0,1,0,0,0,0,10565,1.0565E+12,80
আলাউদ্দিন,0,1,0,0,0,0,10569,1.0569E+12,50
মিকেলাঞ্জেলা,0,1,1,1,0,0,10573,1.0573E+12,80
পল রোবসন,1,3,0,1,0,0,10576,1.0576E+12,50
উদয়শঙ্কর,0,5,2,2,0,0,10580,1.058E+12,100
বিরসা মুণ্ডা,0,4,0,0,0,0,10582,1.0582E+12,80
বেঠোফেন,0,2,0,0,0,0,10584,1.0584E+12,100
চ্যাপলিন,0,0,0,0,0,0,10585,1.0585E+12,80
অতীশ দীপংকর,0,0,0,0,0,0,10586,1.0586E+12,80
প্রলয় শিখা (copy),0,0,0,0,0,0,10621,1.0621E+12,75
বিপ্লবী সূর্য সেন স্মারক বক্তৃতামালা-নির্বাচিত বক্তৃতা সংকলন,0,0,0,4,0,0,10662,1.0662E+12,200
জীবনশিল্পী রামকিঙ্কর,0,0,0,1,0,0,10678,1.0678E+12,300
ইতিবৃত্তে চণ্ডাল জীবন (অখণ্ড),0,0,0,0,0,0,10753,1.0753E+12,1600
বুদ্ধদেব বসুর সান্নিধ্যে,0,8,2,0,0,0,10778,1.0778E+12,300
366 Readings from Christianity,0,3,0,0,0,0,9481,1.0818E+11,700
Fun With Measurement,0,3,3,0,0,0,69738,11003445,1050
অঞ্জলি লহ মোর,0,0,0,0,0,0,11114,1.1114E+12,160
মানুষের মতো মানুষ,1,9,4,0,0,0,11155,1.1155E+12,300
দ্য ড্রেসডেন ফাইলস : সামার নাইট,0,3,1,0,0,0,11219,1.1219E+12,360
আদিম প্রবৃত্তি,0,7,3,0,0,0,11220,1.122E+12,160
স্যালাম্যান্ডার জিন,0,1,0,0,0,0,11223,1.1223E+12,180
চেজ,0,0,9,0,0,0,11228,1.1228E+12,120
মনসা,0,1,2,0,0,0,11232,1.1232E+12,200
রহস্যের ব্যবচ্ছেদ অথবা হিরণ্ময় নীরবতা,2,7,2,0,0,0,11235,1.1235E+12,360
কনফেশন্স,1,3,0,0,0,0,11241,1.1241E+12,240
দ্য ড্রেসডেন ফাইল্‌স: ফুলমুন,0,2,8,0,0,0,11271,1.1271E+12,270
গল্পের লাতিন আমেরিকা,0,1,0,0,0,0,11363,1.1363E+12,450
আখতারুজ্জামান ইলিয়াস মানুষ ও কথাসাহিত্য (copy),0,0,0,0,0,0,11496,1.1496E+12,250
গ্রিক বীরদের আখ্যান,0,0,0,0,0,0,11618,1.1618E+12,270
চার্বাকচর্চা,0,6,0,0,0,0,11664,1.1664E+12,500
প্রকৃতিমঙ্গলঃ প্রাণ ও প্রকৃতির গল্প,0,0,0,0,0,0,11692,1.1692E+12,370
পয়েন্টেড রুফস,0,0,0,0,0,0,11822,1.1822E+12,500
মুক্তিযুদ্ধের ইতিহাস,0,0,0,0,0,0,11903,1.1903E+12,300
আমার জীবন,0,0,0,0,0,0,12004,1.2004E+12,300
স্ফেয়ার,0,1,1,0,0,0,12043,1.2043E+12,400
কার্গিলের আকাশ,0,0,0,0,0,0,12254,1.2254E+12,590
দাশগুপ্ত ট্রাভেলস,0,9,0,2,0,0,12258,1.2258E+12,990
ভারত-ভ্রমণ দিনপঞ্জি,0,0,0,0,0,0,12288,1.2288E+12,120
নির্বাচিত প্রবন্ধ,0,2,0,0,0,0,38516,1.23457E+12,300
জংলি কবুতর,0,0,2,2,0,0,12425,1.2425E+12,450
"ইসলাম, সাম্রাজ্য ও হারানোর বেদনা",0,0,0,0,0,0,12481,1.2481E+12,380
নির্বাচিত গল্প,0,1,0,0,0,0,12498,1.2498E+12,400
যখন আমি মৃত্যুশয্যায়,0,0,1,0,0,0,12499,1.2499E+12,400
কার্লোস ফুয়েন্তেসের গল্প,0,3,3,2,0,0,12582,1.2582E+12,600
দাঙ্গা বিরোধী গল্প,0,2,4,0,0,0,12584,1.2584E+12,300
ভয় সমগ্র (বিভূতিভূষণ বন্দ্যোপাধ্যায়),0,1,0,0,0,0,12650,1.265E+12,798
হত্যার চার অধ্যায়,0,0,0,0,0,0,12706,1.2706E+12,550
খাবার যখন রোগ সারায়,0,0,0,0,0,0,12719,1.2719E+12,300
মেলুহার মৃত্যুঞ্জয়ীগণ,0,0,0,0,0,0,12749,1.2749E+12,798
নাগ রহস্য,0,3,0,4,0,0,12750,1.275E+12,550
কাঁহা গেলে তোমা পাই,0,1,0,4,0,0,12768,1.2768E+12,300
Food কাহিনি,1,0,0,0,0,0,12854,1.2854E+12,580
Anchored Astronauts,0,0,0,0,0,0,12930,1.293E+12,200
Sound Bound,0,1,1,0,0,0,71038,13001550,2120
বাঙালির জাতীয় রাষ্ট্র,0,11,2,0,0,0,13050,1.305E+12,250
অনড় দাঁড়ালাম,0,0,6,0,0,0,13059,1.3059E+12,600
চিত্রকর,0,2,2,0,0,0,13248,1.3248E+12,300
Scenes from Village Life,0,0,0,0,0,0,13286,1.3286E+12,998
শিল্পভাবনা,0,0,0,1,0,0,13293,1.3293E+12,1200
রঙ,0,0,8,1,0,0,13302,1.3302E+12,250
এই সময়ের ছবি,0,0,0,1,0,0,13305,1.3305E+12,1600
নিশি,0,0,0,0,0,0,13377,1.3377E+12,598
In a Glass Darkly,0,0,0,0,0,0,13412,1.3412E+12,510
আসিম কুলুবায়ের কিসাকানি,0,0,1,0,0,0,49701,13423495,250
My Master Pandit Ravi Shankar,0,2,0,0,0,0,13715,1.3715E+12,390
